iter	Passed	Remaining
0	186	186579
1	203	101567
2	222	73969
3	238	59470
4	252	50278
5	271	45017
6	311	44166
7	325	40316
8	333	36695
9	339	33605
10	344	30996
11	353	29092
12	358	27206
13	365	25740
14	370	24360
15	375	23100
16	383	22190
17	388	21207
18	394	20345
19	401	19667
20	406	18953
21	413	18388
22	419	17808
23	424	17252
24	429	16764
25	434	16291
26	439	15844
27	444	15426
28	448	15024
29	453	14659
30	457	14294
31	461	13970
32	465	13650
33	469	13346
34	474	13071
35	478	12802
36	481	12544
37	485	12296
38	489	12068
39	494	11867
40	498	11662
41	502	11464
42	506	11276
43	510	11097
44	514	10924
45	518	10762
46	522	10604
47	527	10453
48	531	10306
49	535	10170
50	539	10037
51	543	9908
52	547	9785
53	551	9665
54	555	9548
55	559	9437
56	563	9319
57	566	9205
58	570	9098
59	574	8998
60	577	8893
61	581	8797
62	585	8701
63	588	8609
64	592	8519
65	596	8434
66	599	8350
67	603	8275
68	609	8219
69	612	8140
70	617	8078
71	623	8037
72	627	7972
73	633	7928
74	639	7889
75	644	7833
76	649	7787
77	655	7753
78	659	7693
79	665	7655
80	672	7635
81	677	7586
82	685	7576
83	689	7524
84	694	7476
85	701	7460
86	706	7418
87	711	7370
88	718	7358
89	723	7315
90	732	7313
91	737	7278
92	741	7234
93	750	7232
94	755	7197
95	761	7169
96	768	7153
97	773	7119
98	780	7107
99	789	7103
100	798	7106
101	803	7071
102	809	7054
103	814	7020
104	819	6984
105	824	6952
106	829	6918
107	833	6881
108	837	6845
109	841	6809
110	846	6782
111	850	6745
112	855	6711
113	859	6683
114	863	6648
115	869	6623
116	873	6593
117	877	6560
118	882	6532
119	887	6507
120	891	6476
121	895	6446
122	900	6417
123	904	6389
124	908	6362
125	913	6334
126	917	6307
127	921	6279
128	926	6258
129	930	6228
130	934	6198
131	942	6199
132	946	6169
133	950	6139
134	953	6109
135	957	6080
136	960	6052
137	964	6022
138	967	5995
139	971	5967
140	975	5940
141	978	5914
142	982	5886
143	985	5859
144	989	5834
145	992	5807
146	996	5781
147	999	5756
148	1003	5730
149	1007	5707
150	1010	5682
151	1013	5656
152	1017	5630
153	1020	5606
154	1023	5582
155	1027	5560
156	1031	5536
157	1034	5514
158	1038	5492
159	1042	5471
160	1045	5450
161	1049	5429
162	1053	5409
163	1057	5390
164	1061	5370
165	1064	5349
166	1068	5330
167	1072	5309
168	1075	5289
169	1079	5272
170	1083	5254
171	1087	5235
172	1091	5216
173	1095	5198
174	1098	5179
